Cairo,Fifth Settlement,Hospitals,Al-Salam International Hospital (Fifth Settlement),Inpatient - Emergency - Outpatient Clinics,Plot 9-8 - Service Center - Fifth Settlement - New Cairo,19885,
Cairo,Maadi,Hospitals,Al-Salam International Hospital (Maadi),Inpatient - Emergency - Outpatient Clinics,Nile Corniche - Maadi,19885,
Cairo,El Shorouk,Hospitals,El Shorouk Specialized Hospital (Swiss),Inpatient - Emergency - Outpatient Clinics,Plot 141 Northeast of Club District - El Shorouk City,17121,
Cairo,Shubra,Hospitals,Al-Safwa Hospital (Shubra),Inpatient - Emergency - Outpatient Clinics,Manyet El-Sirg Street - Shubra 3,24302001-02 2430400,01099926026
Cairo,Heliopolis,Hospitals,Cairo Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,Abu Obeida Al-Bakry Street - Roxy 4,02 22580672,02 24509800
Cairo,Downtown,Hospitals,Kasr El-Aini French Hospital,Emergency Only,Kasr El-Aini Street,02 23654061-68,
Cairo,First Settlement,Hospitals,Katameya Clinic Hospital,Inpatient - Emergency - Outpatient Clinics,First Settlement Service Center - Mostafa Kamel Axis,02 25865100,
Cairo,Shubra,Hospitals,International Center Hospital,Inpatient - Emergency - Outpatient Clinics,Ahmed Helmy Square - Engineers Association Tower 26 - New Ahmed Helmy Station - Shubra,02 22345693,02 22336721
Cairo,Abbassia,Hospitals,International Medical Center for Brain and Spine Surgery,Outpatient Clinics,Abbassia Street - Abdo Pasha Square 91,01221022000,02 25040496/7
Cairo,Mokattam,Hospitals,International Medical Center for Brain and Spine Surgery,Inpatient - Emergency - Outpatient Clinics,Street 9 - Fountain Square 547,01270249989,01097838942
Cairo,Mokattam,Hospitals,Egyptian Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,Street 9 - Asmarat 1155,01026090098-9,02 28482251-2-3-4
Cairo,Gezira,Hospitals,Teachers Hospital (New Heart),Inpatient - Emergency - Outpatient Clinics,Mahmoud Mokhtar Street - Gezira - In front of Opera House,0227374726,
Cairo,Manyal,Hospitals,Al-Nada Hospital (Manyal),Inpatient - Emergency - Outpatient Clinics,Manyal Street Cairo 54,0225311616,
Cairo,Heliopolis,Hospitals,Nozha International Hospital,Inpatient - Emergency - Outpatient Clinics,Al-Safa Street - Behind Abu Bakr Al-Siddiq Mosque 9 - Behind Sheraton Heliopolis,02 22664248,02 22660555
Cairo,Maadi,Hospitals,Nile Badrawi Hospital,Inpatient - Emergency - Outpatient Clinics,Nile Corniche - Maadi-Cairo Road,02 25240022,
Cairo,Helwan,Hospitals,Al-Huda Islamic Hospital,Inpatient - Emergency - Outpatient Clinics,Faydy Street - Atlas - Helwan,27086013-02 270864,02 27086011
Cairo,Helwan,Hospitals,Aman Hospital,Inpatient - Emergency - Outpatient Clinics,Riad Street corner of Mostafa Fahmy 29 - Helwan,01147777164/5,02 28166656/7
Cairo,Maadi,Hospitals,Andalusia Maadi Hospital (Al-Nakheel),Inpatient - Emergency - Outpatient Clinics,Al-Laselky Division - New Maadi - Maadi,16781,
Cairo,Heliopolis,Hospitals,I Vision Eye Hospital,Inpatient - Emergency - Outpatient Clinics,Ahmed Tayseer Street - In front of Girls College 25 - Al-Merghany,01060060090,01010868686
Cairo,Nasr City,Hospitals,Bedayat Hospital,Inpatient - Emergency - Outpatient Clinics,Hassan Al-Maamoun Street 42,0100047111,02 23498882-3
Cairo,Fifth Settlement,Hospitals,Town Hospital,Inpatient - Emergency - Outpatient Clinics,Plot (14-15) Street 53 - Second District - Third Zone - In front of Mahllawy Market - Fifth Settlement - New Cairo,15276,
Cairo,Fifth Settlement,Hospitals,Tabarak New Cairo Hospital,Inpatient - Emergency - Outpatient Clinics,Plot 57/5 First District - Seventh Zone - Fifth Settlement,02 25649290/1/2/3/4/5/,
Cairo,Nasr City,Hospitals,Hasabo International Hospital,Inpatient - Emergency - Outpatient Clinics,Ahmed Fakhry Street parallel to Makram Ebeid 15 - Sixth Zone - Nasr City,2352003-010066256,23521002-02235200
Cairo,Hadayek Maadi,Hospitals,Dr. Osman Hospital,Inpatient - Emergency - Outpatient Clinics,Street 107 - Hadayek Maadi,01226219868,25260168-69-70-71-16
Cairo,Nasr City,Hospitals,Dar Al-Hekma Hospital (Nasr City),Inpatient - Emergency - Outpatient Clinics,Mohamed Hassanein Heikal Street 10 off Abbas Al-Akkad,2 26739050 (30 lines),01066640202
Cairo,Nasr City,Hospitals,Dar Al-Fouad Hospital Nasr City,Inpatient - Emergency - Outpatient Clinics,Intersection of Nasr Road and Youssef Abbas Street - Nasr City,16370,
Cairo,Heliopolis,Hospitals,Saint Peter International Hospital,Inpatient - Emergency - Outpatient Clinics,Abdel Rahman Al-Rafei Street - Al-Hegaz Square 3,02 21804483-84,02 21804039
Cairo,Fifth Settlement,Hospitals,Shefa Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,North Ninety Street Sector 166 164,15051,
Cairo,Maadi,Hospitals,Alaa Ezzat Hospital,Inpatient - Emergency - Outpatient Clinics,Cairo-Helwan Agricultural Road 73 - Maadi,02 25287621-2,0225265584-3
Cairo,Heliopolis,Hospitals,Cleopatra Hospital,Inpatient - Emergency - Outpatient Clinics,Cleopatra Street - Salah El-Din Square 39,02 24143931,19668
Cairo,Nasr City,Hospitals,Cura Hospital,Inpatient - Emergency - Outpatient Clinics,6 Ibn Hani Al-Andalus Street off Aviation Street,15424,
Cairo,Fifth Settlement,Hospitals,Magrabi Eye Hospital,Outpatient Clinics - Dental,Plot 37 South Investors - Next to Point 90 Mall - In front of American University Gate - New Cairo,19505,
Cairo,Sayeda Nafisa,Hospitals,Magrabi Eye Hospital,Inpatient - Emergency - Outpatient Clinics,Sayeda Nafisa Mosque Square,19505,
Cairo,Maadi,Hospitals,Magrabi Eye Hospital,Outpatient Clinics,Morshedy Tower (Rehana) above Kheir Zaman - Zahraa Maadi,19505,
Cairo,Nasr City,Hospitals,Magrabi Eye Hospital,Outpatient Clinics,Abbas Al-Akkad Street 39,19505,
Cairo,Fifth Settlement,Hospitals,Nasayem Hospital,Inpatient - Emergency - Outpatient Clinics,South Ninety Street - Next to Air Force Hospital,16522,
Cairo,El Shorouk,Hospitals,Nour El Shorouk Hospital,Inpatient - Emergency - Outpatient Clinics,El Shorouk City - First Entrance from Freedom Square - Eighth District,01113444234,24794958-02 247950
Cairo,Hadayek El-Qobba,Hospitals,Wadi El-Nil Hospital,Inpatient - Emergency - Outpatient Clinics,Behind National Defense Council,02 24562700,19303
Cairo,Heliopolis,Hospitals,International Eye Hospital,Inpatient - Outpatient Clinics,21 Al-Andalus Street - Behind Merryland Park - Roxy,19650,
Cairo,Heliopolis,Hospitals,Eurocare for Kidney and Urology,Outpatient Clinics,Al-Nadi Street - Al-Merghany - Roxy 4,02 22580623,02 22566319-20
Cairo,Maadi,Dental,Dr. Mahmoud Rashidy,,Al-Nasr Street - Above Ta'ta' Restaurant 21,0114233113,01555895559
Cairo,Ezbet El-Nakhl,Dental,Al-Rowad Dental Clinic,,Al-Farid Street - West Ezbet El-Nakhl - Matareya Center,33550726-01029448,012 72517003
Cairo,Zeitoun,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,66/64 Selim Al-Awal Street - Miami Towers,011 49995382,02 26358696
Cairo,El Shorouk,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,City Plaza Mall - Next to British University,01113002245,
Cairo,Maadi,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,49 Nile Corniche - Gawhart El-Nil Tower,01112991992,
Cairo,Nasr City,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,EMC Mall - Dr. Al-Shimy Street - Tenth Zone,01113008831,
Cairo,Heliopolis,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,168 Al-Nozha Street - Saint Fatima Square,01110002138,02 27756449
Cairo,Downtown,Dental,Egyptian First Dental Center (Dr. Hussein Yahya),,Sherif Street 16,01110002139,02 23910508
Cairo,Fifth Settlement,Dental,Dr. Ahmed El-Gendy (Elite Dental),,HCC Building behind Air Force Hospital,01558881533,01005577332
Cairo,Maadi,Dental,Dr. Ahmed El-Gendy (Elite Dental),,Al-Nasr Street - New Maadi 21,01210555521,01005577332
Cairo,Maadi,Dental,Dr. Ahmed Gamal El-Din (Belli Clinics),,Street 233 - Degla 28,01100039040,
Cairo,Heliopolis,Dental,Dr. Ahmed Rushdy Abu Al-Naga (Dent INN),,Cairo Sales Tower - Seven Buildings Square - Heliopolis,010 93888153,02 22907666
Cairo,Shubra,Dental,Dr. Edward Ibrahim Abdel Malek,,22 Shubra Street - Next to National Bank,22879893-01225500-25774098-02 25767822,
Cairo,Heliopolis,Dental,Dr. Ahmed Zohair Al-Houshy,,Cleopatra Street - Heliopolis 47,02 24147290,
Cairo,Fifth Settlement,Dental,Dr. Ayman Hamed El-Ghamrawy (Care Smile),,Medical Park Premier - Behind Air Force Hospital - Ninety Street,01017066664,
Cairo,Nasr City,Dental,Dr. Ayman Hamed El-Ghamrawy (Care Smile),,Attia Al-Sawalehy Street - In front of Saraya Mall 32 3,01221053433,02 26702575
Cairo,Nasr City,Dental,Dr. Dalia Naguib (Dental Care Unit),,Ramo Buildings - In front of City Stars 10 - Nasr City,01202273558,02 23054338
Cairo,Fifth Settlement,Dental,Dr. Samer Samir Badr,,Ninety Street behind Air Force Hospital - Medical Park Premier Building Clinic 443,01021123025,02 28123586
Cairo,Nasr City,Dental,Dr. Samer Samir Badr,,Al-Nasr Street - Supply Buildings 5 - Nasr City,01111666495,24182977-02 230523
Cairo,Mokattam,Dental,Dr. Suzan Afify,,Plot 7735 Zone S - Behind Total Gas Station - In front of Andalus Garden,01061422267,02 28442144
Cairo,Heliopolis,Dental,Dr. Shady Samir (Perfect Smile Dental),,Gamal Noah Street 12 - off Thawra Street,01009331922,01222276222
Cairo,Manyal,Dental,Dr. Salah El-Din Said,,Manyal Street - Rawda Signal 4,01011143267,
Cairo,Heliopolis,Dental,Dr. Salah Abdel Moneim Abdel Alim,,A Shafik Ghorbal Street 6 - off Ibrahim Al-Lakkany Street - Roxy - Heliopolis,01223800443,02 22568563
Cairo,Nasr City,Dental,Dr. Tony Nagy,,Mohamed Shafik Street 3 - off Nakhla Al-Motee Street,01277476646,01200311435
Cairo,Maadi,Dental,Dr. Abdel Rahman Badawy,,2208 Al-Maarag Al-Olwy - Next to Carrefour Maadi,011 49293777,
Cairo,Shubra,Dental,Dr. Abdel Rahman Badawy,,Saad Selim Street - In front of ESCO Club - Shubra Masr - Mazallat,010 66572668,
Cairo,Heliopolis,Dental,Dr. Abdel Rahman Badawy,,14 Al-Hegaz Street - Court Square - Heliopolis,010 18841671,
Cairo,Heliopolis,Dental,Dr. Emad Ayad Fahim,,Baghdad Street - Korba - Heliopolis 27,01222714669,02 24151336
Cairo,Rehab City,Dental,Dr. Amr Mostafa Abdo,,Clinic 104 - Medical Center 3 - Rehab City,01150025050,
Cairo,Heliopolis,Dental,Dr. Maher Abdel Ghaffar,,Al-Hegaz Street - In front of Samadi Sweets 101 - Heliopolis,02 27716394,
Cairo,Heliopolis,Dental,Dr. Magdy Zein El-Abdeen,,Al-Magd Street - In front of Back Gate 4 of Heliolido Club - Roxy - Heliopolis,02 24500996,
Cairo,First Settlement,Dental,Dr. Mohamed Abdullah (Dr. Teeth),,Silver Star Mall Abu Al-Feda - Mohamed Naguib Axis before Waterway,012 00490060,01200490030
Cairo,Fifth Settlement,Dental,Dr. Mohamed Abdullah (Dr. Teeth),,Silver Star - Above Saudi Market,012 00490060,01200490030
Cairo,Nasr City,Dental,Dr. Mohamed Abdullah (Dr. Teeth),,11 Sibawayh Al-Masry Street - Behind Rabia Al-Adaweya Mosque,012 00490060,01017744802
Cairo,Maadi,Dental,Dr. Hisham Abdel Hakim,,Street 9 - In front of Pizza Hut 70,01156848830,02 23784220
Cairo,Maadi,Dental,Dr. Hisham Mahmoud Imam,,Al-Laselky Street - Moemen Square 1/1 - New Maadi - Above Al-Ageel Shops,02 25194776,
Cairo,Maadi,Dental,Dr. Hana Fouad Dental House,,Al-Nasr Street - Algeria Square 45 above Ezaby Pharmacy - New Maadi,01222228937,
Cairo,Hadayek Maadi,Dental,Dr. Hana Fouad Dental House,,Street 9 Hassanein Desouki - Next to Hadayek Maadi Metro 45,01222228937,
Cairo,Fifth Settlement,Dental,Dr. Wael Darwish,,Street 38 - Fifth Zone 87 - Fifth District,01111889839,
Cairo,Maadi,Dental,Dr. Wael Darwish,,Ashgar Darna Towers - Next to Adidas Outlet 36 - Ring Road,01066647372,
Cairo,Mokattam,Dental,Dr. Yasser Fekry,,Street 9 - Al-Doha Building 73,01222427983,
Cairo,Heliopolis,Dental,Dr. Alaa Ayman,,91 Al-Merghany Street,010 32273277,02 24157558
Cairo,Heliopolis,Dental,Dr. Amir George Meshriky,,Al-Merghany Street 103,01225862473,02 22900227
Cairo,Fifth Settlement,Dental,Dr. Wael Atteya,,Medical Park Premier - North Ninety Street,11736333-01008372,02 33058909
Cairo,Fifth Settlement,Dental,Dr. Wael Atteya,,Ninety Street - Medical Park - Behind Air Force Hospital - Fifth Settlement,55635981-01111736,02 28123580
Cairo,Agouza,Dental,Dr. Wael Atteya,,6 Al-Nabawi Al-Mohandess Square - Behind Balloon Theater,11736333-01008372,02 33058909
Cairo,Fifth Settlement,Dental,Dr. Walid Tantawy,,Fifth Settlement Service Center 18 Life Medical Mall - Building 1 B - Fifth Settlement,011 13866638,
Cairo,Mohandesseen,Dental,Dr. Ahmed Essam Abdel Moneim (Dar El-Shefa Clinics),,162 Sudan Street - Mohandesseen,011 50005473,
Cairo,Heliopolis,Dental,Dr. Ramy Rashad,,25 Al-Hassan Street - Sakr Residences - Sheraton Residences - Nozha - Heliopolis,010 11252154,010 01111136
Cairo,Hadayek El-Qobba,Dental,Dr. Karim Moheb Kamal,,Masr Wal Sudan Street 103,0120050444,01220050444
Cairo,Mokattam,Dental,Dr. Mohamed Mahmoud Al-Abd (Image Dental Clinic),,Street 9 - Fountain Square - Doctors Building - Mokattam,011 56117887,
Cairo,Nasr City,Dental,Dr. Mohamed Mahmoud Al-Abd (Image Dental Clinic),,24 Abbas Al-Akkad - Nasr City,011 17888794,
Cairo,Maadi,Dental,Dental Smile,,Street 9 - In front of Maadi Central 93 above Kentucky,01112909588,0122741949
Cairo,Helwan,Dental,Dental Smile,,A Mansour Street - Above National Bank of Kuwait 50 - Helwan Metro,01225444485,02 25583906
Cairo,Nasr City,Dental,Smile Care Dental Clinic,,Ibrahim Nawwar Street 13 - off Ahmed Fakhry Street - Behind Hasabo Hospital,01226078800,02 223521660
Cairo,Maadi,Dental,Family Dental Center,,1 Algeria Square - Maadi,02 25166862,
Cairo,Maadi,Dental,Dental Care Center - Dr. Amir Ezzat Youssef,,Building 9 Street 219 - Degla,01211113056,02 25210052
Cairo,Heliopolis,Dental,Dental Care Center - Dr. Amir Ezzat Youssef,,17 Al-Montazah Street - Heliopolis,01211113056,02 26446534
Cairo,Heliopolis,Dental,Al-Fayrouz Dental Surgery and Physiotherapy Center,,Mohamed Refaat Historian Street - In front of Shabrawy - New Nozha,0128855021,02 26209765
